q_c_seed,aa,tau,l1,l2,l3,cdist,ci_prob_mean,mse,sc
1,1.2,0,0.3,0,0,0.5072302987530841,0.8229614076905846,0.9632062100715244,0.6969346733668341
2,1.2,0,0.3,0,0,1.4750412830851463,0.8488576759851859,1.3109461930159942,0.6851758793969849
3,1.2,0,0.3,0,0,0.6324490373244935,0.784237210281349,1.0455057128213265,0.7247738693467337
4,1.2,0,0.3,0,0,0.2776076861777675,0.7824458503754456,0.6978328137428431,0.7580402010050251
5,1.2,0,0.3,0,0,1.0058853681393398,0.7915694567659262,0.8448492756167238,0.7121105527638191
1,1.2,0,0.4,0,0,0.40374641910123427,0.7943744620426157,0.7838640956548799,0.7498994974874372
2,1.2,0,0.4,0,0,0.7850843556447112,0.8355225640116074,1.1558987366937168,0.7062311557788945
3,1.2,0,0.4,0,0,0.040054431569691205,0.7282213978178139,0.31556490408096227,0.8181909547738694
4,1.2,0,0.4,0,0,0.1866741544075918,0.7663898797627476,0.6917981326339991,0.7628643216080402
5,1.2,0,0.4,0,0,2.0833333333333335,0.830513061869454,1.227932447865236,0.678643216080402
1,1.2,0,0.3,0.1,0,0.5072302987530841,0.8229614076905846,0.9632062100715244,0.6969346733668341
2,1.2,0,0.3,0.1,0,1.4750412830851463,0.8488576759851859,1.3109461930159942,0.6851758793969849
3,1.2,0,0.3,0.1,0,0.6324490373244935,0.784237210281349,1.0455057128213265,0.7247738693467337
4,1.2,0,0.3,0.1,0,0.2776076861777675,0.7824458503754456,0.6978328137428431,0.7580402010050251
5,1.2,0,0.3,0.1,0,1.0058853681393398,0.7915694567659262,0.8448492756167238,0.7121105527638191
1,1.2,0,0.4,0.1,0,0.40374641910123427,0.7943744620426157,0.7838640956548799,0.7498994974874372
2,1.2,0,0.4,0.1,0,0.7850843556447112,0.8355225640116074,1.1558987366937168,0.7062311557788945
3,1.2,0,0.4,0.1,0,0.040054431569691205,0.7282213978178139,0.31556490408096227,0.8181909547738694
4,1.2,0,0.4,0.1,0,0.1866741544075918,0.7663898797627476,0.6917981326339991,0.7628643216080402
5,1.2,0,0.4,0.1,0,2.0833333333333335,0.830513061869454,1.227932447865236,0.678643216080402
1,1.2,0,0.3,0.2,0,0.5072302987530841,0.8229614076905846,0.9632062100715244,0.6969346733668341
2,1.2,0,0.3,0.2,0,1.4750412830851463,0.8488576759851859,1.3109461930159942,0.6851758793969849
3,1.2,0,0.3,0.2,0,0.6324490373244935,0.784237210281349,1.0455057128213265,0.7247738693467337
4,1.2,0,0.3,0.2,0,0.2776076861777675,0.7824458503754456,0.6978328137428431,0.7580402010050251
5,1.2,0,0.3,0.2,0,1.0058853681393398,0.7915694567659262,0.8448492756167238,0.7121105527638191
1,1.2,0,0.4,0.2,0,0.40374641910123427,0.7943744620426157,0.7838640956548799,0.7498994974874372
2,1.2,0,0.4,0.2,0,0.7850843556447112,0.8355225640116074,1.1558987366937168,0.7062311557788945
3,1.2,0,0.4,0.2,0,0.040054431569691205,0.7282213978178139,0.31556490408096227,0.8181909547738694
4,1.2,0,0.4,0.2,0,0.1866741544075918,0.7663898797627476,0.6917981326339991,0.7628643216080402
5,1.2,0,0.4,0.2,0,2.0833333333333335,0.830513059632525,1.227932451730439,0.678643216080402
1,1.2,0,0.3,0.3,0,0.5072302987530841,0.8229614076905846,0.9632062100715244,0.6969346733668341
