"x","y"
0,1
1,15.1484001125291
2,29.0505662857728
3,42.7107838913897
4,56.1332637198877
5,69.3221432786123
6,82.2814880671383
7,95.0152928304694
8,107.527482790429
9,119.821914855613
10,131.902378810296
11,143.772598482637
12,155.436232892555
13,166.896877379633
14,178.158064711389
15,189.223266172256
16,200.095892633617
17,210.779295605206
18,221.276768268228
19,231.591546490478
20,241.726809823814
21,251.685682484252
22,261.471234315019
23,271.086481732835
24,280.534388657727
25,289.817867426672
26,298.939779691321
27,307.902937300117
28,316.710103165047
29,325.363992113322
30,333.867271724221
31,342.222563151382
32,350.43244193078
33,358.499438774634
34,366.426040351514
35,374.214690052853
36,381.867788746133
37,389.387695514955
38,396.776728386232
39,404.037165044727
40,411.17124353515
41,418.181162952046
42,425.069084117665
43,431.837130248042
44,438.487387607484
45,445.021906151664
46,451.442700159524
47,457.751748854181
48,463.950997013026
49,470.042355567208
50,476.027702190679
51,481.908881878994
52,487.687707518032
53,493.365960442825
54,498.945390986655
55,504.4277190206
56,509.814634483688
57,515.107797903823
58,520.308840909645
59,525.419366733487
60,530.44095070557
61,535.375140739607
62,540.223457809944
63,544.98739642041
64,549.668425064997
65,554.267986680528
66,558.787499091444
67,563.228355446852
68,567.591924649969
69,571.879551780081
70,576.092558507177
71,580.232243499349
72,584.299882823112
73,588.296730336754
74,592.22401807684
75,596.08295663799
76,599.874735546047
77,603.600523624752
78,607.261469356035
79,610.858701234037
80,614.393328112973
81,617.866439548933
82,621.279106135748
83,624.632379834996
84,627.927294300273
85,631.164865195823
86,634.346090509611
87,637.471950860963
88,640.543409802837
89,643.561414118846
90,646.526894115101
91,649.440763906984
92,652.303921700922
93,655.117250071266
94,657.88161623234
95,660.597872305768
96,663.266855583138
97,665.8893887841
98,668.466280309972
99,670.99832449293
100,673.486301840864
101,675.93097927797
102,678.333110381155
103,680.693435612333
104,683.012682546669
105,685.291566096857
106,687.530788733494
107,689.73104070162
108,691.893000233483
109,694.017333757608
110,696.104696104226
111,698.155730707125
112,700.171069801991
113,702.151334621293
114,704.097135585784
115,706.009072492661
116,707.887734700456
117,709.733701310703
118,711.547541346453
119,713.329813927673
120,715.081068443595
121,716.801844722067
122,718.492673195961
123,720.154075066672
124,721.786562464784
125,723.390638607937
126,724.96679795594
127,726.515526363192
128,728.037301228449
129,729.53259164198
130,731.001858530167
131,732.445554797587
132,733.864125466619
133,735.258007814625
134,736.627631508739
135,737.973418738315
136,739.295784345069
137,740.595135950952
138,741.729015434648
139,742.724470074764
140,743.733459815608
141,744.756168692637
142,745.792783243624
143,746.843492542676
144,747.908488234723
145,748.987964570472
146,750.082118441839
147,751.191149417862
148,752.315259781096
149,753.454654564514
150,754.609541588905
151,755.780131500773
152,756.966637810767
153,758.169276932615
154,759.388268222604
155,760.623834019588
156,761.87619968554
157,763.145593646656
158,764.432247435026
159,765.736395730853
160,767.05827640527
161,768.398130563718
162,769.756202589925
163,771.132740190482
164,772.527994440022
165,773.942219827017
166,775.375674300192
167,776.828619315577
168,778.301319884196
169,779.7940446204
170,781.307065790864
171,782.840659364247
172,784.395105061528
173,785.970686407023
174,787.567690780104
175,789.186409467609
176,790.827137716977
177,792.490174790099
178,794.175824017899
179,795.884392855663
180,797.616192939118
181,799.37154014127
182,801.15075463002
183,802.954160926564
184,804.782087964577
185,806.634869150217
186,808.512842422932
187,810.416350317099
188,812.345740024504
189,814.301363457665
190,816.283577314021
191,818.292743140991
192,820.329227401919
193,822.393401542919
194,824.485642060617
195,826.606330570832
196,828.755853878173
197,830.934604046595
198,833.14297847091
199,835.381379949269
200,837.650216756627
201,839.949902719219
202,842.280857290032
203,844.643505625317
204,847.038278662132
205,849.465613196945
206,851.925951965304
207,854.419743722589
208,856.947443325864
209,859.50951181684
210,862.106416505968
211,864.738631057675
212,867.406635576756
213,870.110916695945
214,872.851967664676
215,875.630288439046
216,878.446385773007
217,881.300773310797
218,884.193971680623
219,887.126508589626
220,890.098918920128
221,893.111744827196
222,896.165535837526
223,899.260848949676
224,902.398248735658
225,905.578307443919
226,908.80160510371
227,912.068729630883
228,915.380276935128
229,918.73685102866
230,922.13906413639
231,925.587536807591
232,929.082898029087
233,932.625785339973
234,936.216844947902
235,939.856731846951
236,943.546109937089
237,947.285652145266
238,951.076040548157
239,954.917966496567
240,958.812130741533
241,962.759243562132
242,966.760024895042
243,970.815204465848
244,974.925521922143
245,979.091726968439
246,983.314579502905
247,987.594849755975
248,991.933318430831
249,996.3307768458
250,1000.78802707869
251,1005.30588211308
252,1009.88516598661
253,1014.52671394128
254,1019.2313725758
255,1024
