dt_seed,q_c_seed,aa,tau,l1,l2,l3,cdist,ci_prob_mean,mse,sc
9,999,999,999,999,999,999,0.51146049,999,999,0.652211055
9,999,999,999,999,999,999,0.568181818,999,999,0.649748744
9,999,999,999,999,999,999,0.568181818,999,999,0.653718593
9,999,999,999,999,999,999,0.568181818,999,999,0.635929648
9,999,999,999,999,999,999,0.568181818,999,999,0.64879397
9,999,999,999,999,999,999,0.568181818,999,999,0.649447236
9,999,999,999,999,999,999,0.568181818,999,999,0.636030151
9,999,999,999,999,999,999,0.568181818,0.360941046,111,0.625075377
9,999,999,999,999,999,999,0.456376968,999,999,0.656733668
9,999,999,999,999,999,999,0.568181818,999,999,0.643266332
9,1,1.2,0.5,0.3,0.1,1,0.426925754,0.697237015,0.351814872,0.664773869
9,2,1.2,0.5,0.3,0.1,1,0.568181818,0.669063378,0.219200936,0.65201005
9,3,1.2,0.5,0.3,0.1,1,0.520126242,0.649478155,0.290601162,0.670753769
9,4,1.2,0.5,0.3,0.1,1,0.568181818,0.705902918,0.223602937,0.625175879
9,5,1.2,0.5,0.3,0.1,1,0.567387424,0.700587774,0.261312323,0.650753769
9,6,1.2,0.5,0.3,0.1,1,0.568181818,0.701836379,0.232165324,0.646331658
9,7,1.2,0.5,0.3,0.1,1,0.568181818,0.710731761,0.274573167,0.619949749
9,8,1.2,0.5,0.3,0.1,1,0.568181818,0.854838597,0.928171665,0.626180905
9,9,1.2,0.5,0.3,0.1,1,0.385559408,0.670948379,0.377347626,0.684974874
9,10,1.2,0.5,0.3,0.1,1,0.568181818,0.701990464,0.247358566,0.636934673
9,1,1.2,0.5,0.3,0.2,1,0.426925754,0.697237015,0.351814872,0.664773869
9,2,1.2,0.5,0.3,0.2,1,0.568181818,0.669063378,0.219200936,0.65201005
9,3,1.2,0.5,0.3,0.2,1,0.520126242,0.649478155,0.290601162,0.670753769
9,4,1.2,0.5,0.3,0.2,1,0.568181818,0.705902918,0.223602937,0.625175879
9,5,1.2,0.5,0.3,0.2,1,0.567387424,0.700587774,0.261312323,0.650753769
9,6,1.2,0.5,0.3,0.2,1,0.568181818,0.701836379,0.232165324,0.646331658
9,7,1.2,0.5,0.3,0.2,1,0.568181818,0.710731761,0.274573167,0.619949749
9,8,1.2,0.5,0.3,0.2,1,0.568181818,0.854838597,0.928171665,0.626180905
9,9,1.2,0.5,0.3,0.2,1,0.385559408,0.670948379,0.377347626,0.684974874
9,10,1.2,0.5,0.3,0.2,1,0.568181818,0.701990464,0.247358566,0.636934673
9,1,1.2,0.5,0.3,0.5,1,0.426925754,0.697237015,0.351814872,0.664773869
9,2,1.2,0.5,0.3,0.5,1,0.568181818,0.669063378,0.219200936,0.65201005
9,3,1.2,0.5,0.3,0.5,1,0.520126242,0.649478155,0.290601162,0.670753769
9,4,1.2,0.5,0.3,0.5,1,0.568181818,0.705902918,0.223602937,0.625175879
9,5,1.2,0.5,0.3,0.5,1,0.567387424,0.700587774,0.261312323,0.650753769
9,6,1.2,0.5,0.3,0.5,1,0.568181818,0.701836379,0.232165324,0.646331658
9,7,1.2,0.5,0.3,0.5,1,0.568181818,0.710731761,0.274573167,0.619949749
9,8,1.2,0.5,0.3,0.5,1,0.568181818,0.854838597,0.928171665,0.626180905
9,9,1.2,0.5,0.3,0.5,1,0.385559408,0.670948379,0.377347626,0.684974874
9,10,1.2,0.5,0.3,0.5,1,0.568181818,0.701990464,0.247358566,0.636934673
9,1,1.2,0.5,0.3,0.1,2,0.426925754,0.697237015,0.351814872,0.664773869
9,2,1.2,0.5,0.3,0.1,2,0.568181818,0.669063378,0.219200936,0.65201005
9,3,1.2,0.5,0.3,0.1,2,0.520126242,0.649478155,0.290601162,0.670753769
9,4,1.2,0.5,0.3,0.1,2,0.568181818,0.705902918,0.223602937,0.625175879
9,5,1.2,0.5,0.3,0.1,2,0.567387424,0.700587774,0.261312323,0.650753769
9,6,1.2,0.5,0.3,0.1,2,0.568181818,0.701836379,0.232165324,0.646331658
9,7,1.2,0.5,0.3,0.1,2,0.568181818,0.710731761,0.274573167,0.619949749
9,8,1.2,0.5,0.3,0.1,2,0.568181818,0.854838597,0.928171665,0.626180905
9,9,1.2,0.5,0.3,0.1,2,0.385559408,0.670948379,0.377347626,0.684974874
9,10,1.2,0.5,0.3,0.1,2,0.568181818,0.701990464,0.247358566,0.636934673
9,1,1.2,0.5,0.3,0.2,2,0.426925754,0.697237015,0.351814872,0.664773869
9,2,1.2,0.5,0.3,0.2,2,0.568181818,0.669063378,0.219200936,0.65201005
9,3,1.2,0.5,0.3,0.2,2,0.520126242,0.649478155,0.290601162,0.670753769
9,4,1.2,0.5,0.3,0.2,2,0.568181818,0.705902918,0.223602937,0.625175879
9,5,1.2,0.5,0.3,0.2,2,0.567387424,0.700587774,0.261312323,0.650753769
9,6,1.2,0.5,0.3,0.2,2,0.568181818,0.701836379,0.232165324,0.646331658
9,7,1.2,0.5,0.3,0.2,2,0.568181818,0.710731761,0.274573167,0.619949749
9,8,1.2,0.5,0.3,0.2,2,0.568181818,0.854838597,0.928171665,0.626180905
9,9,1.2,0.5,0.3,0.2,2,0.385559408,0.670948379,0.377347626,0.684974874
9,10,1.2,0.5,0.3,0.2,2,0.568181818,0.701990464,0.247358566,0.636934673
9,1,1.2,0.5,0.3,0.5,2,0.426925754,0.697237015,0.351814872,0.664773869
9,2,1.2,0.5,0.3,0.5,2,0.568181818,0.669063378,0.219200936,0.65201005
9,3,1.2,0.5,0.3,0.5,2,0.520126242,0.649478155,0.290601162,0.670753769
9,4,1.2,0.5,0.3,0.5,2,0.568181818,0.705902918,0.223602937,0.625175879
9,5,1.2,0.5,0.3,0.5,2,0.567387424,0.700587774,0.261312323,0.650753769
9,6,1.2,0.5,0.3,0.5,2,0.568181818,0.701836379,0.232165324,0.646331658
9,7,1.2,0.5,0.3,0.5,2,0.568181818,0.710731761,0.274573167,0.619949749
9,8,1.2,0.5,0.3,0.5,2,0.568181818,0.854838597,0.928171665,0.626180905
9,9,1.2,0.5,0.3,0.5,2,0.385559408,0.670948379,0.377347626,0.684974874
9,10,1.2,0.5,0.3,0.5,2,0.568181818,0.701990464,0.247358566,0.636934673
9,1,1.2,0.5,0.3,1,2,0.426925754,0.697237015,0.351814872,0.664773869
9,2,1.2,0.5,0.3,1,2,0.568181818,0.669063378,0.219200936,0.65201005
9,3,1.2,0.5,0.3,1,2,0.520126242,0.649478155,0.290601162,0.670753769
9,4,1.2,0.5,0.3,1,2,0.568181818,0.705902918,0.223602937,0.625175879
9,5,1.2,0.5,0.3,1,2,0.567387424,0.700587774,0.261312323,0.650753769
9,6,1.2,0.5,0.3,1,2,0.568181818,0.701836379,0.232165324,0.646331658
9,7,1.2,0.5,0.3,1,2,0.568181818,0.710731761,0.274573167,0.619949749
9,8,1.2,0.5,0.3,1,2,0.568181818,0.854838597,0.928171665,0.626180905
9,9,1.2,0.5,0.3,1,2,0.385559408,0.670948379,0.377347626,0.684974874
9,10,1.2,0.5,0.3,1,2,0.568181818,0.701990464,0.247358566,0.636934673
9,1,1.2,0.5,0.3,0.1,4,0.426925754,0.697237015,0.351814872,0.664773869
9,2,1.2,0.5,0.3,0.1,4,0.568181818,0.669063378,0.219200936,0.65201005
9,3,1.2,0.5,0.3,0.1,4,0.520126242,0.649478155,0.290601162,0.670753769
9,4,1.2,0.5,0.3,0.1,4,0.568181818,0.705902918,0.223602937,0.625175879
9,5,1.2,0.5,0.3,0.1,4,0.567387424,0.700587774,0.261312323,0.650753769
9,6,1.2,0.5,0.3,0.1,4,0.568181818,0.701836379,0.232165324,0.646331658
9,7,1.2,0.5,0.3,0.1,4,0.568181818,0.710731761,0.274573167,0.619949749
9,8,1.2,0.5,0.3,0.1,4,0.568181818,0.854838597,0.928171665,0.626180905
9,9,1.2,0.5,0.3,0.1,4,0.205027993,0.71145464,0.431166045,0.740854271
9,10,1.2,0.5,0.3,0.1,4,0.568181818,0.701990464,0.247358566,0.636934673
9,1,1.2,0.5,0.3,0.2,4,0.426925754,0.697237015,0.351814872,0.664773869
9,2,1.2,0.5,0.3,0.2,4,0.568181818,0.669063378,0.219200936,0.65201005
9,3,1.2,0.5,0.3,0.2,4,0.520126242,0.649478155,0.290601162,0.670753769
9,4,1.2,0.5,0.3,0.2,4,0.568181818,0.705902918,0.223602937,0.625175879
9,5,1.2,0.5,0.3,0.2,4,0.567387424,0.700587774,0.261312323,0.650753769
9,6,1.2,0.5,0.3,0.2,4,0.568181818,0.701836379,0.232165324,0.646331658
9,7,1.2,0.5,0.3,0.2,4,0.568181818,0.710731761,0.274573167,0.619949749
9,8,1.2,0.5,0.3,0.2,4,0.568181818,0.854838597,0.928171665,0.626180905
9,9,1.2,0.5,0.3,0.2,4,0.205027993,0.71145464,0.431166045,0.740854271
9,10,1.2,0.5,0.3,0.2,4,0.568181818,0.701990464,0.247358566,0.636934673
9,1,1.2,0.5,0.3,0.5,4,0.426925754,0.697237015,0.351814872,0.664773869
9,2,1.2,0.5,0.3,0.5,4,0.568181818,0.669063378,0.219200936,0.65201005
9,3,1.2,0.5,0.3,0.5,4,0.520126242,0.649478155,0.290601162,0.670753769
9,4,1.2,0.5,0.3,0.5,4,0.568181818,0.705902918,0.223602937,0.625175879
9,5,1.2,0.5,0.3,0.5,4,0.567387424,0.700587774,0.261312323,0.650753769
9,6,1.2,0.5,0.3,0.5,4,0.568181818,0.701836379,0.232165324,0.646331658
9,7,1.2,0.5,0.3,0.5,4,0.568181818,0.710731761,0.274573167,0.619949749
9,8,1.2,0.5,0.3,0.5,4,0.568181818,0.854838597,0.928171665,0.626180905
9,9,1.2,0.5,0.3,0.5,4,0.205027993,0.71145464,0.431166045,0.740854271
9,10,1.2,0.5,0.3,0.5,4,0.568181818,0.701990464,0.247358566,0.636934673
9,1,1.2,0.5,0.3,1,4,0.426925754,0.697237015,0.351814872,0.664773869
9,2,1.2,0.5,0.3,1,4,0.568181818,0.669063378,0.219200936,0.65201005
9,3,1.2,0.5,0.3,1,4,0.520126242,0.649478155,0.290601162,0.670753769
9,4,1.2,0.5,0.3,1,4,0.568181818,0.705902918,0.223602937,0.625175879
9,5,1.2,0.5,0.3,1,4,0.567387424,0.700587774,0.261312323,0.650753769
9,6,1.2,0.5,0.3,1,4,0.568181818,0.701836379,0.232165324,0.646331658
9,7,1.2,0.5,0.3,1,4,0.568181818,0.710731761,0.274573167,0.619949749
9,8,1.2,0.5,0.3,1,4,0.568181818,0.854838597,0.928171665,0.626180905
9,9,1.2,0.5,0.3,1,4,0.205027993,0.71145464,0.431166045,0.740854271
9,10,1.2,0.5,0.3,1,4,0.568181818,0.701990464,0.247358566,0.636934673
9,1,1.2,1,0.3,0.1,1,0.46165181,0.679297211,0.307953327,0.640351759
9,2,1.2,1,0.3,0.1,1,0.568181818,0.680965795,0.225878038,0.663969849
9,3,1.2,1,0.3,0.1,1,0.531045199,0.648929798,0.229739709,0.659899497
9,4,1.2,1,0.3,0.1,1,0.568181818,0.695632864,0.268856308,0.625376884
9,5,1.2,1,0.3,0.1,1,0.568181818,0.709004595,0.319297216,0.640954774
9,6,1.2,1,0.3,0.1,1,0.568181818,0.706253607,0.241409043,0.657437186
9,7,1.2,1,0.3,0.1,1,0.568181818,0.71899171,0.276858551,0.616633166
9,8,1.2,1,0.3,0.1,1,0.568181818,0.892565384,0.975670366,0.625125628
