dt_seed,q_c_seed,aa,tau,l1,l2,l3,cdist,ci_prob_mean,mse,sc
9,999,999,999,999,999,999,0.5,0.360221401,111,0.624874372
9,999,999,999,999,999,999,0.5,0.359186039,111,0.626180905
9,999,999,999,999,999,999,0.5,0.360811613,111,0.628140704
9,999,999,999,999,999,999,0.5,0.355143302,111,0.626633166
9,999,999,999,999,999,999,0.5,0.356324163,111,0.623065327
9,999,999,999,999,999,999,0.5,0.359422089,111,0.624472362
9,999,999,999,999,999,999,0.5,0.353157827,111,0.631306533
9,999,999,999,999,999,999,0.5,0.360941046,111,0.625075377
9,999,999,999,999,999,999,0.5,0.349067037,111,0.625477387
9,999,999,999,999,999,999,0.5,0.357350206,111,0.620050251
9,1,1.2,0.5,0.3,0.1,1,0.5,0.850682987,1.117622205,0.625376884
9,2,1.2,0.5,0.3,0.1,1,0.5,0.879119186,0.887591576,0.621055276
9,3,1.2,0.5,0.3,0.1,1,0.5,0.880794235,0.549471963,0.619346734
9,4,1.2,0.5,0.3,0.1,1,0.5,0.837275286,0.715740565,0.619748744
9,5,1.2,0.5,0.3,0.1,1,0.5,0.857815174,0.786751722,0.622562814
9,6,1.2,0.5,0.3,0.1,1,0.5,0.856438214,1.130592437,0.624723618
9,7,1.2,0.5,0.3,0.1,1,0.5,0.85018953,0.907839357,0.625879397
9,8,1.2,0.5,0.3,0.1,1,0.5,0.841343836,0.508510072,0.620351759
9,9,1.2,0.5,0.3,0.1,1,0.5,0.860394441,0.572642766,0.617939698
9,10,1.2,0.5,0.3,0.1,1,0.5,0.826087124,0.677713538,0.62321608
9,1,1.2,0.5,0.3,0.2,1,0.5,0.850682987,1.117622205,0.625376884
9,2,1.2,0.5,0.3,0.2,1,0.5,0.879119186,0.887591576,0.621055276
9,3,1.2,0.5,0.3,0.2,1,0.5,0.880794235,0.549471963,0.619346734
9,4,1.2,0.5,0.3,0.2,1,0.5,0.837275286,0.715740565,0.619748744
9,5,1.2,0.5,0.3,0.2,1,0.5,0.857815174,0.786751722,0.622562814
9,6,1.2,0.5,0.3,0.2,1,0.5,0.856438214,1.130592437,0.624723618
9,7,1.2,0.5,0.3,0.2,1,0.5,0.85018953,0.907839357,0.625879397
9,8,1.2,0.5,0.3,0.2,1,0.5,0.841343836,0.508510072,0.620351759
9,9,1.2,0.5,0.3,0.2,1,0.5,0.860394441,0.572642766,0.617939698
9,10,1.2,0.5,0.3,0.2,1,0.5,0.826087124,0.677713538,0.62321608
9,1,1.2,0.5,0.3,0.5,1,0.5,0.850682987,1.117622205,0.625376884
9,2,1.2,0.5,0.3,0.5,1,0.5,0.879119186,0.887591576,0.621055276
9,3,1.2,0.5,0.3,0.5,1,0.5,0.880794235,0.549471963,0.619346734
9,4,1.2,0.5,0.3,0.5,1,0.5,0.837275286,0.715740565,0.619748744
9,5,1.2,0.5,0.3,0.5,1,0.5,0.857815174,0.786751722,0.622562814
9,6,1.2,0.5,0.3,0.5,1,0.5,0.856438214,1.130592437,0.624723618
9,7,1.2,0.5,0.3,0.5,1,0.5,0.85018953,0.907839357,0.625879397
9,8,1.2,0.5,0.3,0.5,1,0.5,0.841343836,0.508510072,0.620351759
9,9,1.2,0.5,0.3,0.5,1,0.5,0.860394441,0.572642766,0.617939698
9,10,1.2,0.5,0.3,0.5,1,0.5,0.826087124,0.677713538,0.62321608
9,1,1.2,0.5,0.3,0.1,2,0.5,0.850682987,1.117622205,0.625376884
9,2,1.2,0.5,0.3,0.1,2,0.5,0.879119186,0.887591576,0.621055276
9,3,1.2,0.5,0.3,0.1,2,0.5,0.880794235,0.549471963,0.619346734
9,4,1.2,0.5,0.3,0.1,2,0.5,0.837275286,0.715740565,0.619748744
9,5,1.2,0.5,0.3,0.1,2,0.5,0.857815174,0.786751722,0.622562814
9,6,1.2,0.5,0.3,0.1,2,0.5,0.856438214,1.130592437,0.624723618
9,7,1.2,0.5,0.3,0.1,2,0.5,0.85018953,0.907839357,0.625879397
9,8,1.2,0.5,0.3,0.1,2,0.5,0.841343836,0.508510072,0.620351759
9,9,1.2,0.5,0.3,0.1,2,0.5,0.860394441,0.572642766,0.617939698
9,10,1.2,0.5,0.3,0.1,2,0.5,0.826087124,0.677713538,0.62321608
9,1,1.2,0.5,0.3,0.2,2,0.5,0.850682987,1.117622205,0.625376884
9,2,1.2,0.5,0.3,0.2,2,0.5,0.879119186,0.887591576,0.621055276
9,3,1.2,0.5,0.3,0.2,2,0.5,0.880794235,0.549471963,0.619346734
9,4,1.2,0.5,0.3,0.2,2,0.5,0.837275286,0.715740565,0.619748744
9,5,1.2,0.5,0.3,0.2,2,0.5,0.857815174,0.786751722,0.622562814
9,6,1.2,0.5,0.3,0.2,2,0.5,0.856438214,1.130592437,0.624723618
9,7,1.2,0.5,0.3,0.2,2,0.5,0.85018953,0.907839357,0.625879397
9,8,1.2,0.5,0.3,0.2,2,0.5,0.841343836,0.508510072,0.620351759
9,9,1.2,0.5,0.3,0.2,2,0.5,0.860394441,0.572642766,0.617939698
9,10,1.2,0.5,0.3,0.2,2,0.5,0.826087124,0.677713538,0.62321608
9,1,1.2,0.5,0.3,0.5,2,0.5,0.850682987,1.117622205,0.625376884
9,2,1.2,0.5,0.3,0.5,2,0.5,0.879119186,0.887591576,0.621055276
9,3,1.2,0.5,0.3,0.5,2,0.5,0.880794235,0.549471963,0.619346734
9,4,1.2,0.5,0.3,0.5,2,0.5,0.837275286,0.715740565,0.619748744
9,5,1.2,0.5,0.3,0.5,2,0.5,0.857815174,0.786751722,0.622562814
9,6,1.2,0.5,0.3,0.5,2,0.5,0.856438214,1.130592437,0.624723618
