q_c_seed,aa,tau,l1,l2,l3,cdist,ci_prob_mean,mse,sc
1,1.2,0,0.3,0.1,2,1.7360901877575319,0.8115857919911148,0.9036069088119518,0.7087939698492463
1,1.2,0,0.3,0.2,2,1.7360901877575319,0.8115857919911148,0.9036069088119518,0.7087939698492463
1,1.2,0,0.3,0.5,2,1.7360901848546602,0.8115857930678487,0.9036069153600707,0.7087939698492463
1,1.2,0,0.3,1,2,1.7360901890190599,0.8115857932236628,0.9036069102701114,0.7087939698492463
1,1.2,0,0.3,0.1,4,1.7360566590705042,0.81159982528134,0.9035553452750802,0.7087939698492463
1,1.2,0,0.3,0.2,4,1.7360566590705042,0.81159982528134,0.9035553452750802,0.7087939698492463
1,1.2,0,0.3,0.5,4,1.736056663333403,0.8115998245650482,0.9035553377944727,0.7087939698492463
1,1.2,0,0.3,1,4,1.7360566669874506,0.811599824730669,0.90355533338146,0.7087939698492463
1,1.2,0,0.3,2,4,1.7360566651502405,0.8115998256412775,0.9035553381059732,0.7087939698492463
1,1.2,0,0.3,3,4,1.736068340395205,0.8115867565195181,0.9036030717324385,0.7087939698492463
1,1.2,0,0.3,0.1,6,1.4906763980949476,0.8109998108724439,0.9102010474736942,0.7107537688442211
1,1.2,0,0.3,0.2,6,1.4906763980949476,0.8109998108724439,0.9102010474736942,0.7107537688442211
1,1.2,0,0.3,0.5,6,1.490676399313817,0.8109998109497618,0.9102010473770229,0.7107537688442211
1,1.2,0,0.3,1,6,1.4906764012068026,0.8109998110698418,0.9102010472268856,0.7107537688442211
1,1.2,0,0.3,2,6,1.5044863517943536,0.8112289141846445,0.909712804241675,0.7107537688442211
1,1.2,0,0.3,3,6,1.4777396475668423,0.8107216005766282,0.9107173312955559,0.7107537688442211
1,1.2,0,0.3,4,6,1.4808310511975897,0.8109427893609723,0.9105570992048675,0.7107537688442211
1,1.2,0,0.3,5,6,1.4938883686665656,0.8113164007372038,0.931290796754692,0.7098994974874372
1,1.2,0,0.3,0.1,8,1.477737801943209,0.8107409663579577,0.9106556492340703,0.7107537688442211
