q_c_seed,aa,tau,l1,l2,l3,cdist,ci_prob_mean,mse,sc
1,1.2,0,0.3,0.1,1,1.2794673541565948,0.8353872398836489,0.7535083591754832,0.7218090452261307
1,1.2,0,0.3,0.2,1,1.2794673541565948,0.8353872398836489,0.7535083591754832,0.7218090452261307
1,1.2,0,0.3,0.5,1,1.2794673541551262,0.8353872398835219,0.753508359175646,0.7218090452261307
1,1.2,0,0.3,1,1,1.2794673541563417,0.8353872398836282,0.7535083591755106,0.7218090452261307
1,1.2,0,0.3,5,1,1.2796355805703943,0.8353972184807269,0.7534879736282581,0.7218090452261307
1,1.2,0,0.3,0.1,2,1.2794673541462467,0.8353872398823219,0.7535083591768523,0.7218090452261307
1,1.2,0,0.3,0.2,2,1.2794673541462467,0.8353872398823219,0.7535083591768523,0.7218090452261307
1,1.2,0,0.3,0.5,2,1.2794673541462445,0.8353872398823217,0.7535083591768528,0.7218090452261307
1,1.2,0,0.3,1,2,1.2794673541432584,0.8353872398820732,0.7535083591771795,0.7218090452261307
1,1.2,0,0.3,5,2,1.2796355805703954,0.8353972184807269,0.753487973628258,0.7218090452261307
1,1.2,0,0.3,0.1,5,1.272615196082475,0.8352855134051229,0.7537607384940556,0.7218090452261307
1,1.2,0,0.3,0.2,5,1.272615196082475,0.8352855134051229,0.7537607384940556,0.7218090452261307
1,1.2,0,0.3,0.5,5,1.2726151960824752,0.8352855134051229,0.7537607384940553,0.7218090452261307
1,1.2,0,0.3,1,5,1.272615196083362,0.8352855134052058,0.7537607384939466,0.7218090452261307
1,1.2,0,0.3,5,5,1.2748089435400953,0.8353634089630343,0.7535902535576142,0.7218090452261307
1,1.2,0,0.3,0.1,10,1.269569228008587,0.8351805837689797,0.7539524528770849,0.7218090452261307
1,1.2,0,0.3,0.2,10,1.269569228008587,0.8351805837689797,0.7539524528770849,0.7218090452261307
1,1.2,0,0.3,0.5,10,1.2695692280085873,0.8351805837689797,0.753952452877085,0.7218090452261307
1,1.2,0,0.3,1,10,1.2695692280085873,0.8351805837689797,0.7539524528770851,0.7218090452261307
1,1.2,0,0.3,5,10,1.262252666450582,0.834951959616977,0.7547329291879701,0.7218090452261307
1,1.2,0.3,0.3,0.1,1,0.058801161134250324,0.7498706870447629,0.3374947277779276,0.8279899497487437
1,1.2,0.3,0.3,0.2,1,0.058801161134250324,0.7498706870447629,0.3374947277779276,0.8279899497487437
1,1.2,0.3,0.3,0.5,1,0.058801161134250324,0.7498706870447629,0.3374947277779276,0.8279899497487437
1,1.2,0.3,0.3,1,1,0.058801161134250324,0.7498706870447629,0.3374947277779276,0.8279899497487437
1,1.2,0.3,0.3,5,1,0.13557661264935145,0.5612557097514757,1.233281626331599,0.8109045226130653
1,1.2,0.3,0.3,0.1,2,0.05900732235485035,0.7500093698991025,0.3372216744864966,0.8279899497487437
1,1.2,0.3,0.3,0.2,2,0.05900732235485035,0.7500093698991025,0.3372216744864966,0.8279899497487437
1,1.2,0.3,0.3,0.5,2,0.05900732235485035,0.7500093698991025,0.3372216744864966,0.8279899497487437
1,1.2,0.3,0.3,1,2,0.05900732235485035,0.7500093698991025,0.3372216744864966,0.8279899497487437
1,1.2,0.3,0.3,5,2,0.13472006353112254,0.5631332766304795,1.223617298767099,0.8109045226130653
1,1.2,0.3,0.3,0.1,5,1.4298302590302547,0.8359918855076961,3.187944201233647,0.6607035175879397
1,1.2,0.3,0.3,0.2,5,1.4298302590302547,0.8359918855076961,3.187944201233647,0.6607035175879397
1,1.2,0.3,0.3,0.5,5,1.4298302590302547,0.8359918855076961,3.187944201233647,0.6607035175879397
1,1.2,0.3,0.3,1,5,1.4298302590302547,0.8359918855076961,3.187944201233647,0.6607035175879397
1,1.2,0.3,0.3,5,5,1.4291317765501874,0.7614026868471724,10.443306426705377,0.704572864321608
1,1.2,0.3,0.3,0.1,10,1.334086742815404,0.8254735052069728,2.922906653391902,0.6607537688442211
1,1.2,0.3,0.3,0.2,10,1.334086742815404,0.8254735052069728,2.922906653391902,0.6607537688442211
1,1.2,0.3,0.3,0.5,10,1.334086742815404,0.8254735052069728,2.922906653391902,0.6607537688442211
1,1.2,0.3,0.3,1,10,1.334086742815404,0.8254735052069728,2.922906653391902,0.6607537688442211
1,1.2,0.3,0.3,5,10,1.5751129722214567,0.698022771615295,14.919815709675733,0.6689949748743719
1,1.2,0.6,0.3,0.1,1,0.08870260341113827,0.7527260534618674,0.3349787756131935,0.817035175879397
1,1.2,0.6,0.3,0.2,1,0.08870260341113827,0.7527260534618674,0.3349787756131935,0.817035175879397
1,1.2,0.6,0.3,0.5,1,0.08870260341113827,0.7527260534618674,0.3349787756131935,0.817035175879397
1,1.2,0.6,0.3,1,1,0.08870260341113827,0.7527260534618674,0.3349787756131935,0.817035175879397
