q_c_seed,lambda_1,lambda_2,lambda_3,aa,tau,cdist,ci_prob_mean,mse
1,0.1,0.5,1.5,1.2,0,0.764151375,0.801517185,0.52580739
1,0.1,1,1.5,1.2,0,0.764151375,0.801517185,0.52580739
1,0.1,1.5,1.5,1.2,0,0.764151375,0.801517185,0.52580739
1,0.1,2,1.5,1.2,0,0.764151375,0.801517185,0.52580739
1,0.1,0,0.5,1.2,0,0.764160325,0.801512998,0.525829016
1,0.1,0.5,0.5,1.2,0,0.764160325,0.801512998,0.525829016
1,0.1,1,0.5,1.2,0,0.764160325,0.801512998,0.525829016
1,0.1,1.5,0.5,1.2,0,0.764160325,0.801512998,0.525829016
1,0.1,0,2,1.2,0,0.764154904,0.801500713,0.525844778
1,0.1,2,1,1.2,0,0.764161992,0.801504694,0.525847671
1,0.1,2,0.5,1.2,0,0.764164698,0.801506707,0.525848443
1,0.1,0.5,0,1.2,0,0.764166844,0.801508651,0.525848988
1,0.1,1,0,1.2,0,0.764166844,0.801508651,0.525848988
1,0.1,1.5,0,1.2,0,0.764166844,0.801508651,0.525848988
1,0.1,2,0,1.2,0,0.764166844,0.801508651,0.525848988
1,0.1,0,0,1.2,0,0.764166844,0.801508651,0.525848988
3,0.4,2,1.5,1.2,0,0.270970892,0.793876389,0.53721921
3,0.4,2,1,1.2,0,0.270973986,0.793871425,0.537233427
3,0.4,0,1.5,1.2,0,0.270976642,0.793869061,0.53724008
3,0.4,0.5,1.5,1.2,0,0.270976642,0.793869061,0.53724008
3,0.4,1,1.5,1.2,0,0.27097909,0.79386681,0.537246413
3,0.4,1.5,1.5,1.2,0,0.27097909,0.79386681,0.537246413
3,0.4,0,1,1.2,0,0.270978147,0.793866663,0.537246974
3,0.4,0.5,1,1.2,0,0.270978147,0.793866663,0.537246974
3,0.4,1,1,1.2,0,0.270978147,0.793866663,0.537246974
3,0.4,1.5,1,1.2,0,0.270978147,0.793866663,0.537246974
3,0.4,1,0.5,1.2,0,0.270977142,0.793866483,0.537247611
3,0.4,1.5,0.5,1.2,0,0.270977142,0.793866483,0.537247611
3,0.4,2,0.5,1.2,0,0.270977142,0.793866483,0.537247611
3,0.4,0,0.5,1.2,0,0.270978103,0.793865294,0.537250938
3,0.4,0.5,0.5,1.2,0,0.270978103,0.793865294,0.537250938
3,0.4,0,0,1.2,0,0.270980011,0.79386213,0.537260254
3,0.4,0.5,0,1.2,0,0.270980011,0.79386213,0.537260254
3,0.4,1,0,1.2,0,0.270980011,0.79386213,0.537260254
3,0.4,1.5,0,1.2,0,0.270980011,0.79386213,0.537260254
3,0.4,2,0,1.2,0,0.270980011,0.79386213,0.537260254
4,0.3,2,1.5,1.2,0,0.275840662,0.796226746,0.576653464
4,0.4,0,1.5,1.2,0,0.275841902,0.796222392,0.576664512
4,0.4,1,1.5,1.2,0,0.275841902,0.796222392,0.576664512
4,0.4,1.5,1.5,1.2,0,0.275841902,0.796222392,0.576664512
4,0.4,2,1.5,1.2,0,0.275841902,0.796222392,0.576664512
4,0.4,0.5,1.5,1.2,0,0.275841902,0.796222392,0.576664512
4,0.3,0,1,1.2,0,0.275844151,0.796216262,0.576686094
4,0.3,0.5,1,1.2,0,0.275844151,0.796216262,0.576686094
4,0.3,2,1,1.2,0,0.275844151,0.796216262,0.576686094
4,0.3,1,1,1.2,0,0.275844151,0.796216262,0.576686094
4,0.3,1.5,1,1.2,0,0.275844151,0.796216262,0.576686094
