q_c_seed,aa,tau,l1,l2,l3,cdist,ci_prob_mean,mse,sc
1,1.2,0,0.3,0,0,0.791538568306381,0.8166105772509967,0.6852497690189282,0.7290954773869347
2,1.2,0,0.3,0,0,1.013113359879029,0.8303276369941663,1.0572595429910419,0.7071859296482412
3,1.2,0,0.3,0,0,0.6744974710985657,0.8070061075571783,0.8729179941854585,0.7553768844221106
4,1.2,0,0.3,0,0,0.27584792520563806,0.7962066528989676,0.5767191085728253,0.7999497487437186
5,1.2,0,0.3,0,0,1.477809124696279,0.7961243762771232,0.7429646616875989,0.7521608040201005
1,1.2,0,0.4,0,0,0.9604112904821344,0.8142414177475202,1.0044561966509415,0.6947236180904522
2,1.2,0,0.4,0,0,1.2792671159241544,0.8650184781564966,1.0764864580632674,0.7063819095477387
3,1.2,0,0.4,0,0,0.27098001071666505,0.793862130364081,0.5372602542710363,0.8022110552763819
4,1.2,0,0.4,0,0,0.27584792521653345,0.7962066529215711,0.5767191085706399,0.7999497487437186
5,1.2,0,0.4,0,0,0.7701239451211569,0.8214366989433329,1.0897923508074372,0.7134170854271357
1,1.2,0,0.3,0.1,0,0.791538568306381,0.8166105772509967,0.6852497690189282,0.7290954773869347
2,1.2,0,0.3,0.1,0,1.013113359879029,0.8303276369941663,1.0572595429910419,0.7071859296482412
3,1.2,0,0.3,0.1,0,0.6744974710985657,0.8070061075571783,0.8729179941854585,0.7553768844221106
4,1.2,0,0.3,0.1,0,0.27584792520563806,0.7962066528989676,0.5767191085728253,0.7999497487437186
5,1.2,0,0.3,0.1,0,1.477809124696279,0.7961243762771232,0.7429646616875989,0.7521608040201005
1,1.2,0,0.4,0.1,0,0.9604112904821344,0.8142414177475202,1.0044561966509415,0.6947236180904522
2,1.2,0,0.4,0.1,0,1.2792671159241544,0.8650184781564966,1.0764864580632674,0.7063819095477387
3,1.2,0,0.4,0.1,0,0.27098001071666505,0.793862130364081,0.5372602542710363,0.8022110552763819
4,1.2,0,0.4,0.1,0,0.27584792521653345,0.7962066529215711,0.5767191085706399,0.7999497487437186
5,1.2,0,0.4,0.1,0,0.7701239451211569,0.8214366989433329,1.0897923508074372,0.7134170854271357
1,1.2,0,0.3,0.2,0,0.791538568306381,0.8166105772509967,0.6852497690189282,0.7290954773869347
2,1.2,0,0.3,0.2,0,1.013113359879029,0.8303276369941663,1.0572595429910419,0.7071859296482412
3,1.2,0,0.3,0.2,0,0.6744974710985657,0.8070061075571783,0.8729179941854585,0.7553768844221106
4,1.2,0,0.3,0.2,0,0.27584792520563806,0.7962066528989676,0.5767191085728253,0.7999497487437186
5,1.2,0,0.3,0.2,0,1.477809124696279,0.7961243762771232,0.7429646616875989,0.7521608040201005
1,1.2,0,0.4,0.2,0,0.9604112904821344,0.8142414177475202,1.0044561966509415,0.6947236180904522
2,1.2,0,0.4,0.2,0,1.2792671159241544,0.8650184781564966,1.0764864580632674,0.7063819095477387
3,1.2,0,0.4,0.2,0,0.27098001071666505,0.793862130364081,0.5372602542710363,0.8022110552763819
4,1.2,0,0.4,0.2,0,0.27584792521653345,0.7962066529215711,0.5767191085706399,0.7999497487437186
5,1.2,0,0.4,0.2,0,0.7701239450860183,0.821436698928557,1.089792350825911,0.7134170854271357
1,1.2,0,0.3,0.3,0,0.791538568306381,0.8166105772509967,0.6852497690189282,0.7290954773869347
2,1.2,0,0.3,0.3,0,1.013113359879029,0.8303276369941663,1.0572595429910419,0.7071859296482412
3,1.2,0,0.3,0.3,0,0.6744974710985657,0.8070061075571783,0.8729179941854585,0.7553768844221106
4,1.2,0,0.3,0.3,0,0.27584792520563806,0.7962066528989676,0.5767191085728253,0.7999497487437186
5,1.2,0,0.3,0.3,0,1.477809124696279,0.7961243762771232,0.7429646616875989,0.7521608040201005
1,1.2,0,0.4,0.3,0,0.9604112904821344,0.8142414177475202,1.0044561966509415,0.6947236180904522
2,1.2,0,0.4,0.3,0,1.279267115924154,0.8650184781564967,1.0764864580632674,0.7063819095477387
3,1.2,0,0.4,0.3,0,0.27098001071666505,0.793862130364081,0.5372602542710362,0.8022110552763819
4,1.2,0,0.4,0.3,0,0.27584792521653345,0.7962066529215711,0.5767191085706399,0.7999497487437186
5,1.2,0,0.4,0.3,0,0.7701239450860182,0.821436698928557,1.0897923508259113,0.7134170854271357
1,1.2,0,0.3,0,0.1,0.791538568306381,0.8166105772509967,0.6852497690189282,0.7290954773869347
