"LymphocytesPN","StromaPN","TumorPN","LymphocytesSN","StromaSN","TumorSN"
0.020303861,15.36575823,15.97023509,0.000244506,0.409376923,0.590378571
0.028717582,15.35203857,13.27705143,0.000553605,0.693334069,0.306112326
0.031888741,13.16299882,14.04921127,0.000425523,0.342773279,0.656801197
0,12.53912779,12.7913559,0,0.266018967,0.733981033
0.008951813,18.69513755,17.42861707,3.05e-05,0.551207155,0.448762303
0,13.56627454,11.53777979,0,0.665996115,0.334003885
0,10.41193662,13.60185279,0,0.28947809,0.71052191
0.196314908,3.413271711,7.827009624,0.003377344,0.04153563,0.955087026
4.545107751,14.07456438,11.63333073,0.070188045,0.691537403,0.238274552
1.772039743,13.82875617,15.91345586,0.020128172,0.279327058,0.700544769
5.214646135,23.09886346,19.43744824,0.063101293,0.575509114,0.361389594
1.40749535,7.791151902,12.04588466,0.025138506,0.126236531,0.848624964
5.689311291,8.538717733,15.22417544,0.092079179,0.13771338,0.770207441
0.024166288,15.34189498,20.30008873,0.000262538,0.314893015,0.684844447
2.489710761,14.5553645,19.34251188,0.043338519,0.324427068,0.632234414
1.117453202,15.35073991,13.85983351,0.025607542,0.622218859,0.352173598
1.80071338,16.55200501,13.13571817,0.032986012,0.653652439,0.313361549
1.44837283,14.01787003,9.73435578,0.02583134,0.804692853,0.169475808
0.080968976,12.87163764,11.77917459,0.000904835,0.500420971,0.498674193
3.064907049,12.86942628,8.934364515,0.096256134,0.661749255,0.241994611
1.918358557,13.87887504,18.54812115,0.039561966,0.242459673,0.71797836
4.957550941,9.277568276,16.34423855,0.105954824,0.258998216,0.635046959
3.259006388,11.46310054,16.25286396,0.060547383,0.285634962,0.653817655
1.219747842,13.3945484,12.4605274,0.02370864,0.597899134,0.378392226
2.141414143,13.27303204,6.394731551,0.054111335,0.844878932,0.101009733
2.634238353,18.78020811,19.24320983,0.068505647,0.39410493,0.537389423
0,19.39950469,16.81775447,0,0.635195223,0.364804777
0,15.72762866,16.31804242,0,0.428307489,0.571692511
0.589843415,15.95124087,18.18830309,0.019372776,0.413737329,0.566889895
0.523426854,14.16250659,10.55506149,0.00657467,0.754791865,0.238633465
0.055677775,15.1543034,15.36748843,0.000717977,0.412022127,0.587259896
1.221571215,1.603573827,9.794612605,0.020516172,0.019751034,0.959732794
0,14.38640861,12.94540583,0,0.701497993,0.298502007
0,13.74839575,10.54912769,0,0.74587394,0.25412606
0.213074023,15.53476593,17.56338458,0.002008096,0.319685821,0.678306084
7.513756,13.70139909,11.24642964,0.154347258,0.499049609,0.346603133
0.055349162,14.45803757,15.69127377,0.001011724,0.357363656,0.64162462
3.361663201,17.21939551,16.99062564,0.101578826,0.535348751,0.363072424
1.223079998,15.10640803,13.87641396,0.026403214,0.626779028,0.346817758
2.224067211,6.425797198,12.81273178,0.035843725,0.093334601,0.870821674
0.708650619,17.93642702,16.38443457,0.010204291,0.702945637,0.286850072
0.973034163,12.40164907,15.40201804,0.013378931,0.307535745,0.679085324
0.698802318,5.292371914,9.565229244,0.008282871,0.085522,0.906195129
0.857730795,16.63152634,17.41157181,0.019029694,0.329545513,0.651424793
1.817360494,13.08254892,11.27995193,0.032657117,0.537111375,0.430231508
0.914970807,1.196894522,6.112610819,0.013186849,0.010287279,0.976525873
1.251223102,16.78344119,18.79764737,0.021964327,0.443377196,0.534658477
1.484769295,14.59266816,18.59327574,0.020819885,0.188792191,0.790387924
1.998115683,0.810964049,6.694876181,0.023773362,0.007537991,0.968688647
0.140482905,1.938766245,5.808781881,0.001409805,0.030422639,0.968167557
0.155756635,10.11280611,14.36175668,0.001620792,0.278875093,0.719504116
0.604975155,12.18789708,15.28324558,0.012058421,0.279594167,0.708347412
0,3.067040183,9.392465681,0,0.049010328,0.950989672
0.570506816,12.74203569,13.96179566,0.009481408,0.268259109,0.722259483
0.348784496,6.918104345,10.08729455,0.006194571,0.101290095,0.892515334
0.481633261,6.617245198,10.69406069,0.008165473,0.165907732,0.825926794
1.196805695,15.75383603,15.72194372,0.039032872,0.446376859,0.514590269
0.526692042,11.473703,15.90695305,0.009404063,0.315132964,0.675462973
2.82147493,9.697285024,14.63876502,0.086503225,0.147213445,0.76628333
2.262477224,12.91965503,19.13666602,0.021328581,0.196503271,0.782168148
5.920248968,3.172135529,12.28449666,0.094926008,0.073196994,0.831876998
1.133010099,9.363366707,13.28043647,0.034564404,0.147517254,0.817918342
1.347678013,11.59848422,12.15989187,0.03973691,0.528152218,0.432110872
0.414340976,13.12565047,16.81171339,0.005308369,0.315294371,0.67939726
1.315591529,5.441216236,12.21164453,0.023683259,0.093797769,0.882518972
0.024274223,20.24659649,18.67095874,0.000160827,0.61545725,0.384381923
0,8.45423754,3.741962893,0,0.919994975,0.080005025
0.454286643,12.75207119,11.19012691,0.006173828,0.640330321,0.35349585
3.85506862,12.0889306,4.687642299,0.097818796,0.827287966,0.074893238
0.002714288,13.38281204,13.99381478,5.33e-06,0.338788046,0.661206624
0.071709313,2.756804838,8.66151568,0.000642047,0.036703777,0.962654176
3.319743236,7.117689645,12.89199735,0.048629736,0.135863286,0.815506978
2.60790251,1.012408754,7.654670205,0.034425875,0.015635744,0.949938381
1.257533136,13.35399043,11.20460632,0.027616274,0.651740574,0.320643152
0.562437392,2.890386859,7.015864898,0.007354973,0.037742215,0.954902812
2.44362352,5.951020453,11.12694934,0.037654001,0.107893047,0.854452952
0.03312338,8.599557343,10.64763139,0.000306977,0.214849578,0.784843445
0.292902542,12.68187154,12.56982607,0.004388437,0.449806718,0.545804845
0.07364694,11.9621157,11.85106414,0.0007301,0.362029223,0.637240677
1.083559105,3.801803435,8.749855455,0.010716885,0.050947989,0.938335126
0.515854032,11.58469271,13.29039509,0.007150033,0.30987028,0.682979687
